# Obs_ID	RA[deg]			Dec[deg]		filt	exp_time[s]
2410g5303	111.66484927	-27.18760786	g		20
2440g5303	113.27514763	-29.82005679	g		20
2440r5303	113.27514763	-29.82005679	r		20
2440i5303	113.27514763	-29.82005679	i		20
2470i5303	114.95817616	-32.43861878	i		20
2470r5303	114.95817616	-32.43861878	r		20
2470g5303	114.95817616	-32.43861878	g		20
2500g5303	116.7270839		-35.04030633	g		20
2500r5303	116.7270839		-35.04030633	r		20
2500i5303	116.7270839		-35.04030633	i		20
2501i5303	126.70692823	-29.64794821	i		20
2501r5303	126.70692823	-29.64794821	r		20
2501g5303	126.70692823	-29.64794821	g		20
2471g5303	124.77686845	-27.18805908	g		20
2471r5303	124.77686845	-27.18805908	r		20
2471i5303	124.77686845	-27.18805908	i		20
2441i5303	122.94311091	-24.69542203	i		20
2441r5303	122.94311091	-24.69542203	r		20
2441g5303	122.94311091	-24.69542203	g		20
2411g5303	121.19407331	-22.17410723	g		20
2411r5303	121.19407331	-22.17410723	r		20
2411i5303	121.19407331	-22.17410723	i		20
2381i5303	119.51927126	-19.62768753	i		20
2381r5303	119.51927126	-19.62768753	r		20
2381g5303	119.51927126	-19.62768753	g		20
2351g5303	117.90918254	-17.05931638	g		20
2351r5303	117.90918254	-17.05931638	r		20
2351i5303	117.90918254	-17.05931638	i		20
2321i5303	116.35511714	-14.47179442	i		20
2321r5303	116.35511714	-14.47179442	r		20
2321g5303	116.35511714	-14.47179442	g		20
2291g5303	114.84909508	-11.8676266		g		20
2291r5303	114.84909508	-11.8676266		r		20
2291i5303	114.84909508	-11.8676266		i		20
2261i5303	113.38373271	-9.2490713		i		20
2261r5303	113.38373271	-9.2490713		r		20
2261g5303	113.38373271	-9.2490713		g		20
2231g5303	111.95213711	-6.61818287		g		20
2231r5303	111.95213711	-6.61818287		r		20
2231i5303	111.95213711	-6.61818287		i		20
2201i5303	110.5478075		-3.97684893		i		20
2201r5303	110.5478075		-3.97684893		r		20
2201g5303	110.5478075		-3.97684893		g		20
2201g6303	110.5478075		-3.97684893		g		20
2201r6303	110.5478075		-3.97684893		r		20
2201i6303	110.5478075		-3.97684893		i		20
2231i6303	111.95213711	-6.61818287		i		20
2231r6303	111.95213711	-6.61818287		r		20
2231g6303	111.95213711	-6.61818287		g		20
2261g6303	113.38373271	-9.2490713		g		20
2261r6303	113.38373271	-9.2490713		r		20
2261i6303	113.38373271	-9.2490713		i		20
2291i6303	114.84909508	-11.8676266		i		20
2291r6303	114.84909508	-11.8676266		r		20
2291g6303	114.84909508	-11.8676266		g		20
2321g6303	116.35511714	-14.47179442	g		20
2321r6303	116.35511714	-14.47179442	r		20
2321i6303	116.35511714	-14.47179442	i		20
2351i6303	117.90918254	-17.05931638	i		20
2351r6303	117.90918254	-17.05931638	r		20
2351g6303	117.90918254	-17.05931638	g		20
2381g6303	119.51927126	-19.62768753	g		20
2381r6303	119.51927126	-19.62768753	r		20
2381i6303	119.51927126	-19.62768753	i		20
2411i6303	121.19407331	-22.17410723	i		20
2411r6303	121.19407331	-22.17410723	r		20
2411g6303	121.19407331	-22.17410723	g		20
2441g6303	122.94311091	-24.69542203	g		20
2441r6303	122.94311091	-24.69542203	r		20
2441i6303	122.94311091	-24.69542203	i		20
2471i6303	124.77686845	-27.18805908	i		20
2471r6303	124.77686845	-27.18805908	r		20
2471g6303	124.77686845	-27.18805908	g		20
2501g6303	126.70692823	-29.64794821	g		20
2501r6303	126.70692823	-29.64794821	r		20
2501i6303	126.70692823	-29.64794821	i		20
2500i6303	116.7270839		-35.04030633	i		20
2500r6303	116.7270839		-35.04030633	r		20
2500g6303	116.7270839		-35.04030633	g		20
2470g6303	114.95817616	-32.43861878	g		20
2470r6303	114.95817616	-32.43861878	r		20
2470i6303	114.95817616	-32.43861878	i		20
2440i6303	113.27514763	-29.82005679	i		20
2440r6303	113.27514763	-29.82005679	r		20
2440g6303	113.27514763	-29.82005679	g		20
2410g6303	111.66484927	-27.18760786	g		20
2410r6303	111.66484927	-27.18760786	r		20
2410i6303	111.66484927	-27.18760786	i		20
2380i6303	110.11577334	-24.54387809	i		20
2380r6303	110.11577334	-24.54387809	r		20
2380g6303	110.11577334	-24.54387809	g		20
2350g6303	108.61775582	-21.89117042	g		20
2350r6303	108.61775582	-21.89117042	r		20
2350i6303	108.61775582	-21.89117042	i		20
2320i6303	107.16172785	-19.23154822	i		20
2320r6303	107.16172785	-19.23154822	r		20
2320g6303	107.16172785	-19.23154822	g		20
2290g6303	105.73950697	-16.5668878		g		20
2290r6303	105.73950697	-16.5668878		r		20
2290i6303	105.73950697	-16.5668878		i		20
2260i6303	104.3436205		-13.89892227	i		20
2260r6303	104.3436205		-13.89892227	r		20
2260g6303	104.3436205		-13.89892227	g		20
2230g6303	102.96715443	-11.22927899	g		20
2230r6303	102.96715443	-11.22927899	r		20
2230i6303	102.96715443	-11.22927899	i		20
2200i6303	101.6036224		-8.55951219		i		20
2200r6303	101.6036224		-8.55951219		r		20
2200g6303	101.6036224		-8.55951219		g		20
2200g7303	101.6036224		-8.55951219		g		20
2200r7303	101.6036224		-8.55951219		r		20
2200i7303	101.6036224		-8.55951219		i		20
2230i7303	102.96715443	-11.22927899	i		20
2230r7303	102.96715443	-11.22927899	r		20
2230g7303	102.96715443	-11.22927899	g		20
2260g7303	104.3436205		-13.89892227	g		20
2260r7303	104.3436205		-13.89892227	r		20
2260i7303	104.3436205		-13.89892227	i		20
