# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2261i8316 113.38373271   -9.2490713     i    20
2291i8316 114.84909508   -11.8676266    i    20
2291r8316 114.84909508   -11.8676266    r    20
2291g8316 114.84909508   -11.8676266    g    20
2321g8316 116.35511714   -14.47179442   g    20
2321r8316 116.35511714   -14.47179442   r    20
2321i8316 116.35511714   -14.47179442   i    20
2320i8316 107.16172785   -19.23154822   i    20
2320r8316 107.16172785   -19.23154822   r    20
2320g8316 107.16172785   -19.23154822   g    20
2290g8316 105.73950697   -16.5668878    g    20
2290r8316 105.73950697   -16.5668878    r    20
2290i8316 105.73950697   -16.5668878    i    20
2260i8316 104.3436205    -13.89892227   i    20
2260r8316 104.3436205    -13.89892227   r    20
2260g8316 104.3436205    -13.89892227   g    20
2230g8316 102.96715443   -11.22927899   g    20
2230r8316 102.96715443   -11.22927899   r    20
2230i8316 102.96715443   -11.22927899   i    20
2200i8316 101.6036224    -8.55951219    i    20
2200r8316 101.6036224    -8.55951219    r    20
2200g8316 101.6036224    -8.55951219    g    20
2170g8316 100.24685016   -5.8911321     g    20
2170r8316 100.24685016   -5.8911321     r    20
2170i8316 100.24685016   -5.8911321     i    20
2140i8316 98.89087181    -3.22563177    i    20
2140r8316 98.89087181    -3.22563177    r    20
2140g8316 98.89087181    -3.22563177    g    20
2110g8316 97.52983433    -0.56451246    g    20
2110r8316 97.52983433    -0.56451246    r    20
2110i8316 97.52983433    -0.56451246    i    20
2080i8316 96.15790785    2.09069148     i    20
2080r8316 96.15790785    2.09069148     r    20
2080g8316 96.15790785    2.09069148     g    20
2050g8316 94.76919904    4.73838752     g    20
2050r8316 94.76919904    4.73838752     r    20
2050i8316 94.76919904    4.73838752     i    20
2020i8316 93.35766541    7.37689878     i    20
2020r8316 93.35766541    7.37689878     r    20
2020g8316 93.35766541    7.37689878     g    20
2020g9316 93.35766541    7.37689878     g    20
2020r9316 93.35766541    7.37689878     r    20
2020i9316 93.35766541    7.37689878     i    20
2050i9316 94.76919904    4.73838752     i    20
2050r9316 94.76919904    4.73838752     r    20
2050g9316 94.76919904    4.73838752     g    20
2080g9316 96.15790785    2.09069148     g    20
2080r9316 96.15790785    2.09069148     r    20
2080i9316 96.15790785    2.09069148     i    20
2110i9316 97.52983433    -0.56451246    i    20
2110r9316 97.52983433    -0.56451246    r    20
2110g9316 97.52983433    -0.56451246    g    20
2140g9316 98.89087181    -3.22563177    g    20
2140r9316 98.89087181    -3.22563177    r    20
2140i9316 98.89087181    -3.22563177    i    20
2170i9316 100.24685016   -5.8911321     i    20
2170r9316 100.24685016   -5.8911321     r    20
2170g9316 100.24685016   -5.8911321     g    20
2200g9316 101.6036224    -8.55951219    g    20
2200r9316 101.6036224    -8.55951219    r    20
2200i9316 101.6036224    -8.55951219    i    20
2230i9316 102.96715443   -11.22927899   i    20
2230r9316 102.96715443   -11.22927899   r    20
2230g9316 102.96715443   -11.22927899   g    20
2260g9316 104.3436205    -13.89892227   g    20
2260r9316 104.3436205    -13.89892227   r    20
2260i9316 104.3436205    -13.89892227   i    20
2290i9316 105.73950697   -16.5668878    i    20
2290r9316 105.73950697   -16.5668878    r    20
2290g9316 105.73950697   -16.5668878    g    20
2320g9316 107.16172785   -19.23154822   g    20
2320r9316 107.16172785   -19.23154822   r    20
2320i9316 107.16172785   -19.23154822   i    20
2321i9316 116.35511714   -14.47179442   i    20
2321r9316 116.35511714   -14.47179442   r    20
2321g9316 116.35511714   -14.47179442   g    20
2291g9316 114.84909508   -11.8676266    g    20
2291r9316 114.84909508   -11.8676266    r    20
2291i9316 114.84909508   -11.8676266    i    20
2261i9316 113.38373271   -9.2490713     i    20
2261r9316 113.38373271   -9.2490713     r    20
2261g9316 113.38373271   -9.2490713     g    20
2231g9316 111.95213711   -6.61818287    g    20
2231r9316 111.95213711   -6.61818287    r    20
2231i9316 111.95213711   -6.61818287    i    20
2201i9316 110.5478075    -3.97684893    i    20
2201r9316 110.5478075    -3.97684893    r    20
2201g9316 110.5478075    -3.97684893    g    20
2171g9316 109.16454244   -1.32682329    g    20
2171r9316 109.16454244   -1.32682329    r    20
2171i9316 109.16454244   -1.32682329    i    20
2141i9316 107.79635122   1.3302442      i    20
2141r9316 107.79635122   1.3302442      r    20
2141g9316 107.79635122   1.3302442      g    20
2111g9316 106.43736755   3.99278039     g    20
