# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2080g6310 96.2579744610  2.09069148   g    20
2050g6310 94.8695419856  4.73838752   g    20
2050r6310 94.8695419856  4.73838752   r    20
2050i6310 94.8695419856  4.73838752   i    20
2020i6310 93.4585000169  7.37689878   i    20
2020r6310 93.4585000169  7.37689878   r    20
2020g6310 93.4585000169  7.37689878   g    20
2020g7310 93.4585000169  7.37689878   g    20
2020r7310 93.4585000169  7.37689878   r    20
2020i7310 93.4585000169  7.37689878   i    20
2050i7310 94.8695419856  4.73838752   i    20
2050r7310 94.8695419856  4.73838752   r    20
2050g7310 94.8695419856  4.73838752   g    20
2080g7310 96.2579744610  2.09069148   g    20
2080r7310 96.2579744610  2.09069148   r    20
2080i7310 96.2579744610  2.09069148   i    20
2110i7310 97.6298391839  -0.56451246  i    20
2110r7310 97.6298391839  -0.56451246  r    20
2110g7310 97.6298391839  -0.56451246  g    20
2140g7310 98.9910304922  -3.22563177  g    20
2140r7310 98.9910304922  -3.22563177  r    20
2140i7310 98.9910304922  -3.22563177  i    20
2170i7310 100.3473810925 -5.8911321   i    20
2170r7310 100.3473810925 -5.8911321   r    20
2170g7310 100.3473810925 -5.8911321   g    20
2200g7310 101.7047487654 -8.55951219  g    20
2200r7310 101.7047487654 -8.55951219  r    20
2200i7310 101.7047487654 -8.55951219  i    20
2230i7310 103.0691062184 -11.22927899 i    20
2230r7310 103.0691062184 -11.22927899 r    20
2230g7310 103.0691062184 -11.22927899 g    20
2260g7310 104.4466367117 -13.89892227 g    20
2260r7310 104.4466367117 -13.89892227 r    20
2260i7310 104.4466367117 -13.89892227 i    20
2290i7310 105.8438380104 -16.5668878  i    20
2290r7310 105.8438380104 -16.5668878  r    20
2290g7310 105.8438380104 -16.5668878  g    20
2320g7310 107.2676381593 -19.23154822 g    20
2320r7310 107.2676381593 -19.23154822 r    20
2320i7310 107.2676381593 -19.23154822 i    20
2321i7310 116.4583940353 -14.47179442 i    20
2321r7310 116.4583940353 -14.47179442 r    20
2321g7310 116.4583940353 -14.47179442 g    20
2291g7310 114.9512792316 -11.8676266  g    20
2291r7310 114.9512792316 -11.8676266  r    20
2291i7310 114.9512792316 -11.8676266  i    20
2261i7310 113.4850499381 -9.2490713   i    20
2261r7310 113.4850499381 -9.2490713   r    20
2261g7310 113.4850499381 -9.2490713   g    20
2231g7310 112.0528079563 -6.61818287  g    20
2231r7310 112.0528079563 -6.61818287  r    20
2231i7310 112.0528079563 -6.61818287  i    20
2201i7310 110.6480488657 -3.97684893  i    20
2201r7310 110.6480488657 -3.97684893  r    20
2201g7310 110.6480488657 -3.97684893  g    20
2171g7310 109.2645692593 -1.32682329  g    20
2171r7310 109.2645692593 -1.32682329  r    20
2171i7310 109.2645692593 -1.32682329  i    20
2141i7310 107.8963781778 1.3302442    i    20
2141r7310 107.8963781778 1.3302442    r    20
2141g7310 107.8963781778 1.3302442    g    20
2111g7310 106.5376108573 3.99278039   g    20
2111r7310 106.5376108573 3.99278039   r    20
2111i7310 106.5376108573 3.99278039   i    20
2081i7310 105.1824431176 6.65926302   i    20
2081r7310 105.1824431176 6.65926302   r    20
2081g7310 105.1824431176 6.65926302   g    20
2051g7310 103.8250041846 9.32819575   g    20
2051r7310 103.8250041846 9.32819575   r    20
2051i7310 103.8250041846 9.32819575   i    20
2021i7310 102.4592856726 11.99808323  i    20
2021r7310 102.4592856726 11.99808323  r    20
2021g7310 102.4592856726 11.99808323  g    20
2021g8310 102.4592856726 11.99808323  g    20
2021r8310 102.4592856726 11.99808323  r    20
2021i8310 102.4592856726 11.99808323  i    20
2051i8310 103.8250041846 9.32819575   i    20
2051r8310 103.8250041846 9.32819575   r    20
2051g8310 103.8250041846 9.32819575   g    20
2081g8310 105.1824431176 6.65926302   g    20
2081r8310 105.1824431176 6.65926302   r    20
2081i8310 105.1824431176 6.65926302   i    20
2111i8310 106.5376108573 3.99278039   i    20
2111r8310 106.5376108573 3.99278039   r    20
2111g8310 106.5376108573 3.99278039   g    20
2141g8310 107.8963781778 1.3302442	  g    20
2141r8310 107.8963781778 1.3302442	  r    20
2141i8310 107.8963781778 1.3302442	  i    20
2171i8310 109.2645692593 -1.32682329  i    20
2171r8310 109.2645692593 -1.32682329  r    20
2171g8310 109.2645692593 -1.32682329  g    20
2201g8310 110.6480488657 -3.97684893  g    20
2201r8310 110.6480488657 -3.97684893  r    20
2201i8310 110.6480488657 -3.97684893  i    20
2231i8310 112.0528079563 -6.61818287  i    20
2231r8310 112.0528079563 -6.61818287  r    20
2231g8310 112.0528079563 -6.61818287  g    20
2261g8310 113.4850499381 -9.2490713   g    20
2261r8310 113.4850499381 -9.2490713   r    20
2261i8310 113.4850499381 -9.2490713   i    20
2291i8310 114.9512792316 -11.8676266  i    20
2291r8310 114.9512792316 -11.8676266  r    20
2291g8310 114.9512792316 -11.8676266  g    20
2321g8310 116.4583940353 -14.47179442 g    20
2321r8310 116.4583940353 -14.47179442 r    20
2321i8310 116.4583940353 -14.47179442 i    20
2320i8310 107.2676381593 -19.23154822 i    20
2320r8310 107.2676381593 -19.23154822 r    20
2320g8310 107.2676381593 -19.23154822 g    20
2290g8310 105.8438380104 -16.5668878  g    20
2290r8310 105.8438380104 -16.5668878  r    20
2290i8310 105.8438380104 -16.5668878  i    20
2260i8310 104.4466367117 -13.89892227 i    20
2260r8310 104.4466367117 -13.89892227 r    20
2260g8310 104.4466367117 -13.89892227 g    20
2230g8310 103.0691062184 -11.22927899 g    20
2230r8310 103.0691062184 -11.22927899 r    20
2230i8310 103.0691062184 -11.22927899 i    20
2200i8310 101.7047487654 -8.55951219  i    20
2200r8310 101.7047487654 -8.55951219  r    20
2200g8310 101.7047487654 -8.55951219  g    20
2170g8310 100.3473810925 -5.8911321   g    20
2170r8310 100.3473810925 -5.8911321   r    20
2170i8310 100.3473810925 -5.8911321   i    20
2140i8310 98.9910304922  -3.22563177  i    20
2140r8310 98.9910304922  -3.22563177  r    20
2140g8310 98.9910304922  -3.22563177  g    20
2110g8310 97.6298391839  -0.56451246  g    20
2110r8310 97.6298391839  -0.56451246  r    20
2110i8310 97.6298391839  -0.56451246  i    20
2080i8310 96.2579744610  2.09069148   i    20
2080r8310 96.2579744610  2.09069148   r    20
2080g8310 96.2579744610  2.09069148   g    20
2050g8310 94.8695419856  4.73838752   g    20
2050r8310 94.8695419856  4.73838752   r    20
2050i8310 94.8695419856  4.73838752   i    20
2020i8310 93.4585000169  7.37689878   i    20
2020r8310 93.4585000169  7.37689878   r    20
2020g8310 93.4585000169  7.37689878   g    20
2020g9310 93.4585000169  7.37689878   g    20
2020r9310 93.4585000169  7.37689878   r    20
2020i9310 93.4585000169  7.37689878   i    20
2050i9310 94.8695419856  4.73838752   i    20
2050r9310 94.8695419856  4.73838752   r    20
2050g9310 94.8695419856  4.73838752   g    20
2080g9310 96.2579744610  2.09069148   g    20
2080r9310 96.2579744610  2.09069148   r    20
2080i9310 96.2579744610  2.09069148   i    20
2110i9310 97.6298391839  -0.56451246  i    20
2110r9310 97.6298391839  -0.56451246  r    20
2110g9310 97.6298391839  -0.56451246  g    20
2140g9310 98.9910304922  -3.22563177  g    20
2140r9310 98.9910304922  -3.22563177  r    20
2140i9310 98.9910304922  -3.22563177  i    20
2170i9310 100.3473810925 -5.8911321   i    20
2170r9310 100.3473810925 -5.8911321   r    20
2170g9310 100.3473810925 -5.8911321   g    20
2200g9310 101.7047487654 -8.55951219  g    20
2200r9310 101.7047487654 -8.55951219  r    20
2200i9310 101.7047487654 -8.55951219  i    20
2230i9310 103.0691062184 -11.22927899 i    20
2230r9310 103.0691062184 -11.22927899 r    20
2230g9310 103.0691062184 -11.22927899 g    20
2260g9310 104.4466367117 -13.89892227 g    20
2260r9310 104.4466367117 -13.89892227 r    20
2260i9310 104.4466367117 -13.89892227 i    20
2290i9310 105.8438380104 -16.5668878  i    20
2290r9310 105.8438380104 -16.5668878  r    20
2290g9310 105.8438380104 -16.5668878  g    20
2320g9310 107.2676381593 -19.23154822 g    20
2320r9310 107.2676381593 -19.23154822 r    20
2320i9310 107.2676381593 -19.23154822 i    20
2321i9310 116.4583940353 -14.47179442 i    20
2321r9310 116.4583940353 -14.47179442 r    20
2321g9310 116.4583940353 -14.47179442 g    20
2291g9310 114.9512792316 -11.8676266  g    20
2291r9310 114.9512792316 -11.8676266  r    20
2291i9310 114.9512792316 -11.8676266  i    20
2261i9310 113.4850499381 -9.2490713   i    20
2261r9310 113.4850499381 -9.2490713   r    20
2261g9310 113.4850499381 -9.2490713   g    20
2231g9310 112.0528079563 -6.61818287  g    20
2231r9310 112.0528079563 -6.61818287  r    20
2231i9310 112.0528079563 -6.61818287  i    20
2201i9310 110.6480488657 -3.97684893  i    20
2201r9310 110.6480488657 -3.97684893  r    20
2201g9310 110.6480488657 -3.97684893  g    20
2171g9310 109.2645692593 -1.32682329  g    20
2171r9310 109.2645692593 -1.32682329  r    20
2171i9310 109.2645692593 -1.32682329  i    20
2141i9310 107.8963781778 1.3302442    i    20
2141r9310 107.8963781778 1.3302442    r    20
2141g9310 107.8963781778 1.3302442    g    20
2111g9310 106.5376108573 3.99278039   g    20
2111r9310 106.5376108573 3.99278039   r    20
2111i9310 106.5376108573 3.99278039   i    20
