# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2141r6313 107.8963781778 1.3302442    r    20
2141i6313 107.8963781778 1.3302442    i    20
2171i6313 109.2645692593 -1.32682329  i    20
2171r6313 109.2645692593 -1.32682329  r    20
2171g6313 109.2645692593 -1.32682329  g    20
2201g6313 110.6480488657 -3.97684893  g    20
2201r6313 110.6480488657 -3.97684893  r    20
2201i6313 110.6480488657 -3.97684893  i    20
2231i6313 112.0528079563 -6.61818287  i    20
2231r6313 112.0528079563 -6.61818287  r    20
2231g6313 112.0528079563 -6.61818287  g    20
2261g6313 113.4850499381 -9.2490713   g    20
2261r6313 113.4850499381 -9.2490713   r    20
2261i6313 113.4850499381 -9.2490713   i    20
2291i6313 114.9512792316 -11.8676266  i    20
2291r6313 114.9512792316 -11.8676266  r    20
2291g6313 114.9512792316 -11.8676266  g    20
2321g6313 116.4583940353 -14.47179442 g    20
2321r6313 116.4583940353 -14.47179442 r    20
2321i6313 116.4583940353 -14.47179442 i    20
2320i6313 107.2676381593 -19.23154822 i    20
2320r6313 107.2676381593 -19.23154822 r    20
2320g6313 107.2676381593 -19.23154822 g    20
2290g6313 105.8438380104 -16.5668878  g    20
2290r6313 105.8438380104 -16.5668878  r    20
2290i6313 105.8438380104 -16.5668878  i    20
2260i6313 104.4466367117 -13.89892227 i    20
2260r6313 104.4466367117 -13.89892227 r    20
2260g6313 104.4466367117 -13.89892227 g    20
2230g6313 103.0691062184 -11.22927899 g    20
2230r6313 103.0691062184 -11.22927899 r    20
2230i6313 103.0691062184 -11.22927899 i    20
2200i6313 101.7047487654 -8.55951219  i    20
2200r6313 101.7047487654 -8.55951219  r    20
2200g6313 101.7047487654 -8.55951219  g    20
2170g6313 100.3473810925 -5.8911321   g    20
2170r6313 100.3473810925 -5.8911321   r    20
2170i6313 100.3473810925 -5.8911321   i    20
2140i6313 98.9910304922  -3.22563177  i    20
2140r6313 98.9910304922  -3.22563177  r    20
2140g6313 98.9910304922  -3.22563177  g    20
2110g6313 97.6298391839  -0.56451246  g    20
2110r6313 97.6298391839  -0.56451246  r    20
2110i6313 97.6298391839  -0.56451246  i    20
2080i6313 96.2579744610  2.09069148   i    20
2080r6313 96.2579744610  2.09069148   r    20
2080g6313 96.2579744610  2.09069148   g    20
2050g6313 94.8695419856  4.73838752   g    20
2050r6313 94.8695419856  4.73838752   r    20
2050i6313 94.8695419856  4.73838752   i    20
2020i6313 93.4585000169  7.37689878   i    20
2020r6313 93.4585000169  7.37689878   r    20
2020g6313 93.4585000169  7.37689878   g    20
2020g7313 93.4585000169  7.37689878   g    20
2020r7313 93.4585000169  7.37689878   r    20
2020i7313 93.4585000169  7.37689878   i    20
2050i7313 94.8695419856  4.73838752   i    20
2050r7313 94.8695419856  4.73838752   r    20
2050g7313 94.8695419856  4.73838752   g    20
2080g7313 96.2579744610  2.09069148   g    20
2080r7313 96.2579744610  2.09069148   r    20
2080i7313 96.2579744610  2.09069148   i    20
2110i7313 97.6298391839  -0.56451246  i    20
2110r7313 97.6298391839  -0.56451246  r    20
2110g7313 97.6298391839  -0.56451246  g    20
2140g7313 98.9910304922  -3.22563177  g    20
2140r7313 98.9910304922  -3.22563177  r    20
2140i7313 98.9910304922  -3.22563177  i    20
2170i7313 100.3473810925 -5.8911321   i    20
2170r7313 100.3473810925 -5.8911321   r    20
2170g7313 100.3473810925 -5.8911321   g    20
2200g7313 101.7047487654 -8.55951219  g    20
2200r7313 101.7047487654 -8.55951219  r    20
2200i7313 101.7047487654 -8.55951219  i    20
2230i7313 103.0691062184 -11.22927899 i    20
2230r7313 103.0691062184 -11.22927899 r    20
2230g7313 103.0691062184 -11.22927899 g    20
2260g7313 104.4466367117 -13.89892227 g    20
2260r7313 104.4466367117 -13.89892227 r    20
2260i7313 104.4466367117 -13.89892227 i    20
