# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2140i7314 98.89087181    -3.22563177    i    20
2170i7314 100.24685016   -5.8911321     i    20
2170r7314 100.24685016   -5.8911321     r    20
2170g7314 100.24685016   -5.8911321     g    20
2200g7314 101.6036224    -8.55951219    g    20
2200r7314 101.6036224    -8.55951219    r    20
2200i7314 101.6036224    -8.55951219    i    20
2230i7314 102.96715443   -11.22927899   i    20
2230r7314 102.96715443   -11.22927899   r    20
2230g7314 102.96715443   -11.22927899   g    20
2260g7314 104.3436205    -13.89892227   g    20
2260r7314 104.3436205    -13.89892227   r    20
2260i7314 104.3436205    -13.89892227   i    20
2290i7314 105.73950697   -16.5668878    i    20
2290r7314 105.73950697   -16.5668878    r    20
2290g7314 105.73950697   -16.5668878    g    20
2320g7314 107.16172785   -19.23154822   g    20
2320r7314 107.16172785   -19.23154822   r    20
2320i7314 107.16172785   -19.23154822   i    20
2321i7314 116.35511714   -14.47179442   i    20
2321r7314 116.35511714   -14.47179442   r    20
2321g7314 116.35511714   -14.47179442   g    20
2291g7314 114.84909508   -11.8676266    g    20
2291r7314 114.84909508   -11.8676266    r    20
2291i7314 114.84909508   -11.8676266    i    20
2261i7314 113.38373271   -9.2490713     i    20
2261r7314 113.38373271   -9.2490713     r    20
2261g7314 113.38373271   -9.2490713     g    20
2231g7314 111.95213711   -6.61818287    g    20
2231r7314 111.95213711   -6.61818287    r    20
2231i7314 111.95213711   -6.61818287    i    20
2201i7314 110.5478075    -3.97684893    i    20
2201r7314 110.5478075    -3.97684893    r    20
2201g7314 110.5478075    -3.97684893    g    20
2171g7314 109.16454244   -1.32682329    g    20
2171r7314 109.16454244   -1.32682329    r    20
2171i7314 109.16454244   -1.32682329    i    20
2141i7314 107.79635122   1.3302442      i    20
2141r7314 107.79635122   1.3302442      r    20
2141g7314 107.79635122   1.3302442      g    20
2111g7314 106.43736755   3.99278039     g    20
2111r7314 106.43736755   3.99278039     r    20
2111i7314 106.43736755   3.99278039     i    20
2081i7314 105.08176387   6.65926302     i    20
2081r7314 105.08176387   6.65926302     r    20
2081g7314 105.08176387   6.65926302     g    20
2051g7314 103.72366407   9.32819575     g    20
2051r7314 103.72366407   9.32819575     r    20
2051i7314 103.72366407   9.32819575     i    20
2021i7314 102.35705234   11.99808323    i    20
2021r7314 102.35705234   11.99808323    r    20
2021g7314 102.35705234   11.99808323    g    20
2021g8314 102.35705234   11.99808323    g    20
2021r8314 102.35705234   11.99808323    r    20
2021i8314 102.35705234   11.99808323    i    20
2051i8314 103.72366407   9.32819575     i    20
2051r8314 103.72366407   9.32819575     r    20
2051g8314 103.72366407   9.32819575     g    20
2081g8314 105.08176387   6.65926302     g    20
2081r8314 105.08176387   6.65926302     r    20
2081i8314 105.08176387   6.65926302     i    20
2111i8314 106.43736755   3.99278039     i    20
2111r8314 106.43736755   3.99278039     r    20
2111g8314 106.43736755   3.99278039     g    20
2141g8314 107.79635122   1.3302442      g    20
2141r8314 107.79635122   1.3302442      r    20
2141i8314 107.79635122   1.3302442      i    20
2171i8314 109.16454244   -1.32682329    i    20
2171r8314 109.16454244   -1.32682329    r    20
2171g8314 109.16454244   -1.32682329    g    20
2201g8314 110.5478075    -3.97684893    g    20
2201r8314 110.5478075    -3.97684893    r    20
2201i8314 110.5478075    -3.97684893    i    20
2231i8314 111.95213711   -6.61818287    i    20
2231r8314 111.95213711   -6.61818287    r    20
2231g8314 111.95213711   -6.61818287    g    20
2261g8314 113.38373271   -9.2490713     g    20
2261r8314 113.38373271   -9.2490713     r    20
2261i8314 113.38373271   -9.2490713     i    20
2291i8314 114.84909508   -11.8676266    i    20
2291r8314 114.84909508   -11.8676266    r    20
2291g8314 114.84909508   -11.8676266    g    20
2321g8314 116.35511714   -14.47179442   g    20
2321r8314 116.35511714   -14.47179442   r    20
2321i8314 116.35511714   -14.47179442   i    20
2320i8314 107.16172785   -19.23154822   i    20
2320r8314 107.16172785   -19.23154822   r    20
2320g8314 107.16172785   -19.23154822   g    20
2290g8314 105.73950697   -16.5668878    g    20
2290r8314 105.73950697   -16.5668878    r    20
2290i8314 105.73950697   -16.5668878    i    20
2260i8314 104.3436205    -13.89892227   i    20
2260r8314 104.3436205    -13.89892227   r    20
2260g8314 104.3436205    -13.89892227   g    20
2230g8314 102.96715443   -11.22927899   g    20
2230r8314 102.96715443   -11.22927899   r    20
2230i8314 102.96715443   -11.22927899   i    20
2200i8314 101.6036224    -8.55951219    i    20
2200r8314 101.6036224    -8.55951219    r    20
2200g8314 101.6036224    -8.55951219    g    20
2170g8314 100.24685016   -5.8911321     g    20
2170r8314 100.24685016   -5.8911321     r    20
2170i8314 100.24685016   -5.8911321     i    20
2140i8314 98.89087181    -3.22563177    i    20
2140r8314 98.89087181    -3.22563177    r    20
2140g8314 98.89087181    -3.22563177    g    20
2110g8314 97.52983433    -0.56451246    g    20
2110r8314 97.52983433    -0.56451246    r    20
2110i8314 97.52983433    -0.56451246    i    20
